,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
67,68.0,16323.0,224.0,44.0,1226.0,14.0,81995.0,34.0,140.0,1.0,87.0,19.0,93.5483870967742,0.9803921568627451,0.524836770669673,0.0240306249333984
68,69.0,16292.0,209.0,48.0,1102.0,12.0,82166.0,31.0,140.0,0.0,99.0,26.0,94.28571428571428,0.0,0.54062132216304,0.0254851335303682
69,70.0,16266.0,184.0,34.0,1019.0,11.0,82316.0,30.0,140.0,0.0,68.0,22.0,83.9506172839506,0.0,0.508837444754628,0.0258323074104
70,71.0,16243.0,167.0,28.0,932.0,13.0,82447.0,30.0,140.0,0.0,62.0,20.0,83.78378378378379,1.3513513513513513,0.519563197358723,0.0272699956232801
71,72.0,16225.0,157.0,27.0,849.0,13.0,82558.0,31.0,140.0,0.0,60.0,16.0,90.9090909090909,0.0,0.519800982410163,0.0285277850880828
72,73.0,16204.0,149.0,28.0,774.0,13.0,82661.0,30.0,141.0,1.0,61.0,19.0,88.40579710144928,1.7543859649122806,0.525788181624915,0.0300083165419555
73,74.0,16189.0,139.0,23.0,718.0,12.0,82749.0,28.0,142.0,1.0,39.0,14.0,90.69767441860463,0.0,0.509473566150843,0.0308913724514711
74,75.0,16174.0,122.0,20.0,655.0,11.0,82850.0,24.0,144.0,2.0,60.0,14.0,93.75,0.0,0.530599404893544,0.0329698428059077
75,76.0,16167.0,110.0,17.0,590.0,11.0,82938.0,23.0,144.0,0.0,37.0,7.0,84.0909090909091,0.0,0.499999666338308,0.0334824541654817
76,77.0,16163.0,99.0,15.0,547.0,10.0,83001.0,20.0,145.0,1.0,43.0,3.0,84.31372549019608,0.0,0.515145290223251,0.0355484022840487
77,78.0,16158.0,90.0,13.0,490.0,8.0,83077.0,19.0,145.0,0.0,31.0,5.0,86.11111111111111,0.0,0.505539248003981,0.0368702390559763
78,79.0,16146.0,79.0,17.0,446.0,8.0,83142.0,17.0,145.0,0.0,35.0,11.0,92.10526315789474,0.0,0.509898707738997,0.0387668808767575
79,80.0,16138.0,69.0,17.0,403.0,8.0,83204.0,16.0,145.0,0.0,26.0,6.0,76.47058823529412,0.0,0.523694472251079,0.041145323622072
